Date,Close,High,Low,Open,Volume,Ticker
,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,
2020-01-01,633.151123046875,635.857836165516,629.456283947449,631.5614994346679,2112415,INFY.NS
2020-01-02,631.3036499023438,636.5451590730723,628.038444888832,634.9125827890715,5658200,INFY.NS
2020-01-03,641.0134887695312,642.7320235919697,630.6163740719871,630.6163740719871,7882938,INFY.NS
2020-01-06,634.8696899414062,647.7157479073298,632.8504325536925,641.0993785171215,6519403,INFY.NS
2020-01-07,625.4607543945312,638.091943075868,623.0547637452105,634.1393340585887,7899363,INFY.NS
2020-01-08,617.1257934570312,626.4058699298521,608.6190260970619,622.9258478082336,8639443,INFY.NS
2020-01-09,625.1599731445312,628.5540897917724,613.7746803355894,620.1332799391682,13521186,INFY.NS
2020-01-10,634.2682495117188,638.349769643852,627.6948329522857,636.2445540339635,9341405,INFY.NS
2020-01-13,664.6861572265625,668.0802732841175,648.7467605524229,653.0430967150216,36952038,INFY.NS
2020-01-14,666.4907836914062,667.607820828844,659.2299636297804,661.5929489936188,11414418,INFY.NS
2020-01-15,659.53076171875,664.9441365008446,654.8907486678945,664.9441365008446,6047430,INFY.NS
2020-01-16,659.0580444335938,663.7840147652558,653.2579899356449,662.237344054906,5740586,INFY.NS
2020-01-17,659.7883911132812,664.127733038518,654.976515096355,662.2373344441845,3762957,INFY.NS
2020-01-20,660.303955078125,665.4166059085701,655.5779850146992,663.0106155562338,3887680,INFY.NS
2020-01-21,655.1912841796875,662.0654222432121,653.6875664782915,660.3039348535362,4448374,INFY.NS
2020-01-22,661.8077392578125,668.5100142587062,658.1988058125564,660.3040213594156,9733935,INFY.NS
2020-01-23,673.96630859375,674.95448700041,667.3929449935188,667.7366204578454,12528017,INFY.NS
2020-01-24,672.591552734375,675.8138054622625,664.7292351001217,666.5766809756518,7540490,INFY.NS
2020-01-27,668.595947265625,674.3530493717882,665.4166998215759,669.4122617899837,3741610,INFY.NS
2020-01-28,668.5099487304688,671.7751539292527,663.354345012753,671.0877505893266,5121009,INFY.NS
2020-01-29,678.5633544921875,681.227061975943,673.8803375135111,675.8995945629215,6832757,INFY.NS
2020-01-30,670.8299560546875,678.5633613449273,668.5099239785133,678.5633613449273,3859680,INFY.NS
