Date,Close,High,Low,Open,Volume,Ticker
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,
2021-12-29,3277.2119140625,3299.608753298073,3268.6080230926227,3275.0387987147183,1456923,TCS.NS
2021-12-30,3311.848876953125,3317.3926480896384,3264.1724451791097,3265.3699863660204,1966475,TCS.NS
2021-12-31,3315.929931640625,3335.1334725940915,3309.676513068789,3319.8770542748616,1207141,TCS.NS
2022-01-03,3386.357421875,3397.2232141395452,3321.827920875352,3326.262938126187,2346158,TCS.NS
2022-01-04,3445.787109375,3449.689838451158,3380.9914554484494,3398.1994545927564,2488606,TCS.NS
2022-01-05,3424.677001953125,3432.7044290061035,3381.6129276273455,3428.2694103639765,1733031,TCS.NS
2022-01-06,3377.2216796875,3401.6586712099115,3345.7774466241945,3381.2575892183004,1810293,TCS.NS
2022-01-07,3418.068115234375,3428.1798688915587,3367.4201268665024,3388.353496871756,2460591,TCS.NS
2022-01-10,3441.441162109375,3528.5004828256165,3424.721056860157,3528.5004828256165,3937092,TCS.NS
2022-01-11,3473.4169921875,3481.4888108289488,3420.285568039854,3420.285568039854,1906106,TCS.NS
2022-01-12,3423.744873046875,3485.0369042039447,3403.0334703465164,3481.4888900484816,3203744,TCS.NS
2022-01-13,3457.450927734375,3479.7148026675522,3421.1725704534156,3475.2797850755724,6684507,TCS.NS
2022-01-14,3519.762939453125,3527.613007244821,3423.877988650264,3439.6666946537052,3348123,TCS.NS
2022-01-17,3565.000244140625,3586.155365505401,3514.574222074522,3541.539043469743,3442604,TCS.NS
2022-01-18,3539.676025390625,3585.001771384683,3530.273702275697,3578.127494703116,2389041,TCS.NS
2022-01-19,3478.409912109375,3564.91152862164,3474.722465771417,3564.91152862164,3102539,TCS.NS
2022-01-20,3400.12744140625,3483.1635285665043,3386.310256981364,3474.277907320161,6176776,TCS.NS
2022-01-21,3406.303466796875,3422.342059179579,3350.8572678451856,3382.7565666090263,3112358,TCS.NS
2022-01-24,3351.078857421875,3420.653098273078,3323.3112910112377,3412.078560539118,3258414,TCS.NS
2022-01-25,3349.790771484375,3384.888980694485,3307.4063951415274,3349.43543335464,3330501,TCS.NS
2022-01-27,3242.58544921875,3317.35786790561,3221.1267599154967,3315.225405503914,5718297,TCS.NS
2022-01-28,3278.8388671875,3314.159213319958,3239.6976603507437,3239.6976603507437,3143862,TCS.NS
2022-01-31,3319.89013671875,3339.2163623389933,3306.694902797494,3331.219303461651,2739393,TCS.NS
2022-02-01,3377.114013671875,3383.6450329539907,3320.023889363237,3349.8796676041347,2105169,TCS.NS
2022-02-02,3426.473388671875,3433.4042169687295,3377.1137168552855,3401.3270359319927,1984212,TCS.NS
2022-02-03,3398.395263671875,3449.842931105823,3390.7980130574983,3421.8532202674887,1960538,TCS.NS
2022-02-04,3389.776123046875,3398.4840766951115,3348.991201555373,3390.1316781159926,2307366,TCS.NS
2022-02-07,3357.876708984375,3404.7928386994317,3337.572975002385,3368.539455877154,1919149,TCS.NS
2022-02-08,3326.2880859375,3376.2697091125106,3306.33990816381,3369.028014039471,2946443,TCS.NS
2022-02-09,3341.482666015625,3356.9435617136155,3328.642985453299,3332.1082913026003,1638721,TCS.NS
2022-02-10,3350.1904296875,3367.4729203279344,3339.216600228163,3367.4729203279344,2112459,TCS.NS
2022-02-11,3283.1923828125,3334.3291734158643,3278.794043945247,3334.3291734158643,3851488,TCS.NS
2022-02-14,3317.668701171875,3370.5381454891767,3296.5653515494223,3309.0052208005523,5951745,TCS.NS
2022-02-15,3392.353271484375,3407.6365000141645,3330.331578110323,3364.0969462982075,3931683,TCS.NS
2022-02-16,3388.1767578125,3424.6078095847042,3381.867879146584,3415.633244203749,3256906,TCS.NS
2022-02-17,3362.4970703125,3407.6360739487654,3357.876590209227,3398.7504518524192,3134372,TCS.NS
2022-02-18,3371.1162109375,3390.709051805688,3338.861575025704,3348.991097834247,3688883,TCS.NS
2022-02-21,3304.918212890625,3401.238487075305,3292.611756383807,3385.42203627491,7465922,TCS.NS
2022-02-22,3186.739013671875,3259.1568244811297,3172.1666820740847,3243.2516497396105,5408531,TCS.NS
2022-02-23,3166.657958984375,3219.171853968917,3159.4160470145603,3208.5980507387485,2426203,TCS.NS
2022-02-24,3022.577392578125,3095.617375865612,3013.203235313269,3086.8649517934127,5039136,TCS.NS
2022-02-25,3128.405029296875,3136.624228763181,3076.2020056595275,3081.5333782863204,2549723,TCS.NS
2022-02-28,3158.127685546875,3166.613497830025,3070.7819790701324,3101.082036457885,3288942,TCS.NS
2022-03-02,3150.974609375,3173.8995564350007,3115.2989255099646,3156.617065851155,2761341,TCS.NS
2022-03-03,3149.419677734375,3179.8086775840598,3136.713412213718,3165.813823365856,1928039,TCS.NS
2022-03-04,3131.60400390625,3164.347387967224,3098.460593342772,3111.3002726289433,2370257,TCS.NS
2022-03-07,3096.5498046875,3152.6181568779925,3049.145149428159,3065.5390758819262,3054130,TCS.NS
2022-03-08,3198.779052734375,3206.820583036263,3074.424831616922,3074.424831616922,3300992,TCS.NS
2022-03-09,3227.791259765625,3246.8064048099586,3196.202828942838,3203.2668553201697,2719654,TCS.NS
2022-03-10,3217.439208984375,3273.4630982851195,3212.152307356326,3273.4630982851195,2005441,TCS.NS
2022-03-11,3198.068115234375,3234.232765344657,3192.470347692051,3201.7113065266467,1623423,TCS.NS
2022-03-14,3237.031982421875,3241.7858768007827,3181.0525657618205,3181.0525657618205,1765688,TCS.NS
2022-03-15,3193.40380859375,3251.2492982969325,3185.8510294094035,3251.2492982969325,3651133,TCS.NS
2022-03-16,3248.494384765625,3259.2460739095877,3213.2629811274664,3234.81061397706,3090475,TCS.NS
2022-03-17,3263.467041015625,3296.5659852067165,3252.404484263418,3284.6593376941833,3600452,TCS.NS
2022-03-21,3222.54833984375,3300.075388245015,3212.1522059664503,3284.1257408719225,2413831,TCS.NS
2022-03-22,3288.5244140625,3297.4545080572443,3221.038154596473,3234.3665883396307,2907611,TCS.NS
2022-03-23,3298.6982421875,3314.159354710851,3278.794535574468,3294.7886552601967,1596195,TCS.NS
2022-03-24,3331.974609375,3339.393972597933,3283.2368924122356,3287.6797028214537,1879046,TCS.NS
2022-03-25,3294.300048828125,3358.321001908702,3262.8005606584875,3340.9050951489594,1690133,TCS.NS
2022-03-28,3294.52197265625,3299.2313956274616,3253.203831019655,3283.2372762842633,1760990,TCS.NS
2022-03-29,3292.434326171875,3307.228801338647,3279.683370698803,3283.0154792439457,2689063,TCS.NS
2022-03-30,3315.714111328125,3321.445293769234,3293.1889742074877,3321.445293769234,1583455,TCS.NS
2022-03-31,3323.177978515625,3336.2397987692148,3305.628876005545,3323.222450010069,2168110,TCS.NS
2022-04-01,3339.88330078125,3343.6596902799715,3312.6044835537823,3330.3312567550715,1387014,TCS.NS
2022-04-04,3350.1904296875,3358.7649677654217,3320.645737841415,3342.7708488713006,1472994,TCS.NS
2022-04-05,3389.686767578125,3408.1689027818647,3351.656266029568,3351.656266029568,2314947,TCS.NS
2022-04-06,3336.862060546875,3384.799946643338,3315.358682300862,3384.799946643338,2051729,TCS.NS
2022-04-07,3273.59619140625,3328.1095666362144,3269.0201830609085,3328.1095666362144,2494829,TCS.NS
2022-04-08,3274.9287109375,3292.1224737888224,3236.5873443389437,3278.7940427208514,2296773,TCS.NS
2022-04-11,3284.4814453125,3298.654186881885,3248.6725598448093,3278.794733632162,2291660,TCS.NS
2022-04-12,3279.772216796875,3322.3342619156374,3241.786180504579,3272.5747757783615,4483476,TCS.NS
2022-04-13,3253.8701171875,3296.432374272563,3248.1834062092184,3293.89988537501,1621672,TCS.NS
2022-04-18,3134.891845703125,3207.7094730408703,3129.960282212317,3207.7094730408703,3820792,TCS.NS
2022-04-19,3084.998779296875,3166.4356288546082,3055.8983694740664,3154.3955685792644,3170014,TCS.NS
2022-04-20,3160.437744140625,3171.4113559966663,3092.1961309669464,3109.9673730989402,2640370,TCS.NS
2022-04-21,3224.28076171875,3237.9202766610933,3169.8563333582965,3181.052302537518,2280996,TCS.NS
2022-04-22,3209.9755859375,3213.929644546312,3173.500062343697,3182.0303466809823,1581465,TCS.NS
2022-04-25,3152.796142578125,3184.606710585191,3139.3789844211183,3161.5040949392046,1960694,TCS.NS
2022-04-26,3151.108154296875,3188.0722114341042,3126.094998356819,3176.743043452235,1943469,TCS.NS
2022-04-27,3164.34716796875,3170.789242910435,3115.565197597769,3150.841068029554,1727648,TCS.NS
2022-04-28,3184.873291015625,3202.733259696587,3143.777292437707,3188.160927515036,1703660,TCS.NS
2022-04-29,3151.463623046875,3219.4831052544378,3142.7114152271593,3196.158346677765,2051115,TCS.NS
2022-05-02,3147.642333984375,3152.573897085291,3103.5253119643658,3127.6496864948044,1324161,TCS.NS
2022-05-04,3091.973876953125,3150.3523618271915,3079.1341983708458,3144.176898799808,2305825,TCS.NS
2022-05-05,3121.87451171875,3139.290418532952,3096.950514238651,3120.719554345007,1612262,TCS.NS
2022-05-06,3050.07861328125,3087.3092816962812,3042.881172879239,3073.536567962998,2010812,TCS.NS
2022-05-09,3061.185302734375,3070.870542614234,2973.8840785411317,3019.333942072676,2481830,TCS.NS
2022-05-10,3055.54296875,3078.690055200708,3040.6595533442382,3051.32229870956,1622685,TCS.NS
2022-05-11,3031.774169921875,3064.1622181217003,3005.2505019723253,3052.211100141161,1841769,TCS.NS
2022-05-12,3028.79736328125,3065.2728838583857,2976.772221615572,3001.5630194609157,2807195,TCS.NS
2022-05-13,3034.3515625,3056.5656218375625,3005.2511447677934,3052.2117529810694,2187823,TCS.NS
2022-05-16,3000.496826171875,3047.7682909715472,2991.433535282342,3034.439858212196,1195813,TCS.NS
2022-05-17,3066.9609375,3080.644706648595,2977.0382821780336,2994.4541855799725,1754076,TCS.NS
2022-05-18,3064.473388671875,3105.5249193259233,3059.3641559719827,3078.8680530656147,1866781,TCS.NS
2022-05-19,2898.445068359375,3025.553918820275,2870.0555529484545,3018.445422094706,4642963,TCS.NS
2022-05-20,2926.034912109375,2944.605772697741,2905.6424558809776,2941.140467379906,3065125,TCS.NS
2022-05-23,2951.581787109375,2966.8205436107723,2902.9330017268994,2936.5206996791653,2293690,TCS.NS
2022-05-24,2921.59228515625,2954.3358864396305,2910.5742015114233,2945.716660226276,1711510,TCS.NS
2022-05-25,2833.613525390625,2945.6110559752246,2821.4478094645397,2945.6110559752246,3548046,TCS.NS
2022-05-26,2886.659912109375,2899.675621465552,2845.152996895877,2854.5009742701145,2813186,TCS.NS
2022-05-27,2917.38818359375,2933.132090597313,2888.673117763423,2910.142260546347,3103153,TCS.NS
2022-05-30,3019.321533203125,3029.4747349681716,2939.7963456033503,2949.3231893846983,2094624,TCS.NS
2022-05-31,3009.571044921875,3026.612000510551,2974.3705125505267,3000.446485475332,4840965,TCS.NS
2022-06-01,3001.385986328125,3030.727190529451,2987.8336778962866,3030.727190529451,1493835,TCS.NS
2022-06-02,3062.0361328125,3070.0870604184925,2993.424382338286,3001.2069020116674,2657939,TCS.NS
2022-06-03,3077.377685546875,3110.6102582693384,3069.371528604616,3094.5977259894203,1913622,TCS.NS
2022-06-06,3069.14794921875,3088.872766865215,3021.021246154396,3057.563601837621,1084210,TCS.NS
2022-06-07,3008.09521484375,3058.3241943557528,3002.1017895151595,3042.4012031637467,2308256,TCS.NS
2022-06-08,3045.174072265625,3053.940682272369,2993.6034913799344,3023.704930238696,2185707,TCS.NS
2022-06-09,3065.704345703125,3074.5602801002638,2999.5078194513303,3028.043802193597,1279197,TCS.NS
2022-06-10,3005.590576171875,3035.200190885872,2998.523737061433,3025.3601666890713,1527582,TCS.NS
2022-06-13,2880.085205078125,2945.7449039172147,2855.798109527881,2943.061261429589,3030921,TCS.NS
2022-06-14,2871.989501953125,2897.3497923832656,2839.9198869193006,2853.606507263308,2611493,TCS.NS
2022-06-15,2868.187744140625,2892.966666653976,2863.4465986268947,2879.1011801564077,1404536,TCS.NS
2022-06-16,2810.66845703125,2902.6727617050265,2802.6622999813585,2898.3341186445737,2032028,TCS.NS
2022-06-17,2763.16796875,2789.870301721433,2704.9778226240087,2765.9411536425396,5240434,TCS.NS
2022-06-20,2784.18994140625,2807.761358689215,2745.3666618294546,2767.730352460193,1502769,TCS.NS
2022-06-21,2873.241943359375,2896.321313698456,2795.8188096638946,2799.9338157288753,2964461,TCS.NS
2022-06-22,2883.082275390625,2907.771877636186,2847.345140817848,2862.462908590004,3336315,TCS.NS
2022-06-23,2959.87939453125,2968.109189472764,2883.082389175418,2883.082389175418,3692578,TCS.NS
2022-06-24,2945.834716796875,2992.261648742065,2931.8796872203643,2986.8943632734695,2132118,TCS.NS
2022-06-27,2965.15673828125,3008.2738867735548,2957.821492005862,2996.734310666759,2037686,TCS.NS
2022-06-28,2968.2431640625,2978.8436409537917,2927.4966937802037,2958.2690452354923,1400046,TCS.NS
2022-06-29,2943.50830078125,2981.526566328493,2926.06462600075,2926.06462600075,2133994,TCS.NS
2022-06-30,2922.576416015625,2961.757424365387,2911.75230319857,2926.959611694538,2719603,TCS.NS
2022-07-01,2965.51416015625,2981.5264711882255,2909.11290315332,2916.2245112732116,1502879,TCS.NS
2022-07-04,2893.906005859375,2968.0639081040827,2884.960530635869,2962.741394025175,2622535,TCS.NS
2022-07-05,2877.133056640625,2926.959306784252,2868.7689504809973,2911.7519998724756,2170627,TCS.NS
2022-07-06,2916.895751953125,2923.8284950575144,2864.564723358704,2879.101120190488,2182144,TCS.NS
2022-07-07,2941.138427734375,2969.361229929666,2920.742698680176,2926.0652132459163,1989921,TCS.NS
2022-07-08,2921.1005859375,2956.479989245835,2907.2798683960555,2952.007250986764,2136916,TCS.NS
2022-07-11,2785.442626953125,2884.9162859075004,2778.4651113267278,2868.0539746766594,6974600,TCS.NS
2022-07-12,2759.4111328125,2805.4803374642706,2755.430439390607,2786.4264285602785,3734815,TCS.NS
2022-07-13,2718.30615234375,2782.0426602349858,2714.951599296843,2776.675375359934,3863530,TCS.NS
2022-07-14,2689.605224609375,2741.8501614442216,2661.128370626433,2740.9532526573576,4764908,TCS.NS
2022-07-15,2685.883544921875,2716.6473457633606,2648.5720461846936,2707.3644698054904,4574806,TCS.NS
2022-07-18,2747.680419921875,2759.7438008534455,2703.5525457596186,2711.3556094087903,3202795,TCS.NS
2022-07-19,2757.322265625,2761.5376937826195,2717.6789348920574,2717.6789348920574,1865074,TCS.NS
2022-07-20,2838.537353515625,2844.950164613829,2778.668683955497,2787.4135458013584,3402251,TCS.NS
2022-07-21,2849.748291015625,2855.757536006189,2819.926074284405,2840.5100868503773,2420640,TCS.NS
2022-07-22,2844.097900390625,2867.417529974402,2819.4329075616306,2856.6546240126586,2075886,TCS.NS
2022-07-25,2840.285888671875,2857.954947903264,2824.4555362400793,2838.716298301566,1797504,TCS.NS
2022-07-26,2794.6787109375,2842.2148887101794,2777.278763643441,2838.4479146433337,2639367,TCS.NS
