Date,Close,High,Low,Open,Volume,Ticker,returns,sma_10,sma_50,volatility,rsi,momentum
2020-03-12,1527.1458740234375,1646.6961965549096,1517.2228987467024,1642.8995588611901,8728786,TCS.NS,-0.09410350209265894,1739.864306640625,1847.9107421875,0.040026054063729305,21.863053107132444,-305.2393798828125
2020-03-13,1558.5975341796875,1570.4187762422782,1299.5215794726853,1456.434005911892,8029720,TCS.NS,0.020595059510187586,1714.0473266601562,1841.7604174804687,0.041757719693342174,26.781964726470747,-258.1697998046875
2020-03-16,1463.768310546875,1589.6175025323976,1446.0363429555694,1514.3323202303477,7844271,TCS.NS,-0.060842662427746275,1687.8377197265625,1833.8848266601562,0.04290665222776006,24.555139349859886,-262.0960693359375
2020-03-17,1430.63427734375,1493.6236031857848,1400.5633668263586,1492.7607357084967,5713248,TCS.NS,-0.022636118683800333,1658.2154907226563,1824.6061694335938,0.04256839465188761,19.656472499048647,-296.2222900390625
2020-03-18,1427.52783203125,1478.5664592497835,1404.532395006362,1446.8560826461996,7258778,TCS.NS,-0.002171376264147429,1625.2712158203126,1815.2688354492188,0.04119437260083996,20.37506547406798,-329.4427490234375
2020-03-19,1422.269287109375,1464.9456022715356,1344.3915132205727,1355.6472458548637,5135111,TCS.NS,-0.0036836724327766746,1587.7455932617188,1805.733349609375,0.0389076709216857,20.68872066539302,-375.2562255859375
2020-03-20,1562.29296875,1624.482259820397,1414.1426627757016,1416.750178441545,8547498,TCS.NS,0.09845089316750255,1560.61123046875,1798.147744140625,0.05355698396745343,38.67338363451661,-271.3436279296875
2020-03-23,1451.2562255859375,1521.0507690276384,1406.1027894825497,1408.0584261855852,7003490,TCS.NS,-0.0710729327885945,1523.115283203125,1789.0456420898438,0.05621783658286479,33.4396904991804,-374.95947265625
2020-03-24,1480.3302001953125,1538.4343227468346,1419.227370812281,1436.7847075341913,6350865,TCS.NS,0.020033660560275335,1500.9606567382812,1780.5387866210938,0.054961775923263206,33.356393984019704,-221.5462646484375
2020-03-25,1521.311279296875,1573.2007876997652,1460.2084659312738,1477.5919000495032,2765520,TCS.NS,0.027683741840945686,1484.51337890625,1773.2510131835938,0.0564248355326252,33.39054924485714,-164.4727783203125
2020-03-26,1556.643310546875,1592.3663591097686,1497.1920398088018,1591.9751681101268,4556067,TCS.NS,0.023224721811258675,1487.4631225585938,1766.3849291992187,0.048327843113647115,33.32808247993496,29.4974365234375
2020-03-27,1585.8038330078125,1607.967712285258,1521.3982285627783,1581.8925601941455,4331250,TCS.NS,0.018732950743027166,1490.1837524414063,1759.757685546875,0.04825586979552033,35.89889872086886,27.206298828125
2020-03-30,1545.822265625,1655.772513925007,1532.828187811398,1534.9576165834974,8513547,TCS.NS,-0.025212177288649218,1498.3891479492188,1752.1259033203125,0.04418018930672284,39.841545412184715,82.053955078125
2020-03-31,1587.1949462890625,1612.3140379657996,1547.1261388566702,1597.0166321948764,3927593,TCS.NS,0.026764189896912205,1514.04521484375,1745.6607690429687,0.04333460540968202,43.78676893706037,156.5606689453125
2020-04-01,1485.1973876953125,1594.7130399847692,1479.3304777512344,1587.020890389216,4941878,TCS.NS,-0.06426277933421165,1519.8121704101563,1737.9950903320312,0.04948693325103916,47.15310009059922,57.6695556640625
2020-04-03,1437.7841796875,1512.3591745266067,1434.1336999821272,1512.3591745266067,5735369,TCS.NS,-0.03192384285120986,1521.3636596679687,1729.3690942382811,0.050829280842222546,41.974681360055875,15.514892578125
2020-04-07,1542.9539794921875,1552.2106818374748,1481.9381519797437,1486.2840116629686,5427577,TCS.NS,0.07314713939024275,1519.4297607421875,1722.2292236328126,0.045898310091742126,55.188815453413525,-19.3389892578125
2020-04-08,1482.3289794921875,1569.7242449849496,1478.4612074858246,1529.7423428424756,6285615,TCS.NS,-0.03929151536972786,1522.5370361328125,1714.0658178710937,0.041324850395508636,53.26961131369532,31.07275390625
2020-04-09,1535.0880126953125,1546.0830587389082,1504.7103903329628,1521.4419498471034,5307397,TCS.NS,0.03559198661905616,1528.0128173828125,1707.0878881835938,0.04232284672062006,56.40097872972899,54.7578125
2020-04-13,1529.090576171875,1553.2100949945377,1517.5740491664594,1530.6116269084393,2990438,TCS.NS,-0.0039069007599813466,1528.7907470703126,1700.23419921875,0.04156782455246857,56.35142110760981,7.779296875
2020-04-15,1508.1436767578125,1574.9395175255652,1501.7552843719732,1551.4718757081314,4761399,TCS.NS,-0.013698926499503883,1523.9407836914063,1692.711337890625,0.041039126494353914,46.24925698099647,-48.4996337890625
2020-04-16,1491.5421142578125,1534.001129900537,1455.906075130439,1486.2400820929606,6245533,TCS.NS,-0.011007944903293154,1514.5146118164062,1685.3594995117187,0.04040981179231999,53.21047939573856,-94.26171875
2020-04-17,1569.898193359375,1609.6628065183957,1523.6582921915412,1564.5093701909723,9895823,TCS.NS,0.052533601533975016,1516.9222045898437,1679.8638452148436,0.04352881212603159,56.61805280833469,24.075927734375
2020-04-20,1580.7196044921875,1590.5846850070488,1566.682456133992,1590.5846850070488,3244282,TCS.NS,0.006893065536725196,1516.2746704101562,1675.5993505859376,0.0427391136814757,54.594364147962025,-6.475341796875
