Date,Close,High,Low,Open,Volume,Ticker,returns,sma_10,sma_50,volatility,rsi,momentum
2020-03-12,542.3695678710938,575.7091309346221,539.1902681514557,573.9905962154143,13965574,INFY.NS,-0.07988325133114416,624.8205261230469,655.0804870605468,0.032342137593403326,12.956936138775959,-130.22198486328125
2020-03-13,551.9503784179688,573.1313402307924,489.78240469498,508.68628698145295,16903113,INFY.NS,0.017664727363818633,613.1774597167969,653.4564721679687,0.03435941841729788,17.2560246744098,-116.4306640625
2020-03-16,501.081787109375,534.5932144936081,498.37507391936435,534.4643034100769,19140152,INFY.NS,-0.09216152990853299,600.4130493164063,650.8520349121094,0.03983601393223437,13.8511605649595,-127.64410400390625
2020-03-17,476.850341796875,508.6861809788303,472.59695867965655,505.3350179299897,16059887,INFY.NS,-0.048358263931893464,584.4220825195313,647.5687719726562,0.03863095419806357,11.94310099699618,-159.90966796875
2020-03-18,459.1064758300781,496.65646470613166,453.6931027073313,488.06379230637157,15390183,INFY.NS,-0.03721055520256977,566.1454559326172,644.0535076904297,0.03656152274779505,11.759275405654648,-182.76626586914062
2020-03-19,468.7732238769531,479.47111131199466,437.58183411403814,437.58183411403814,16583991,INFY.NS,0.021055568927441648,547.8258666992188,640.9197570800782,0.037369287933972956,14.93055812469673,-183.19589233398438
2020-03-20,502.84326171875,530.5546336465629,470.87850593616946,472.16740695606774,21354894,INFY.NS,0.07267914656051211,533.2698791503906,638.6341064453125,0.0496428945519669,27.44073445825893,-145.55987548828125
2020-03-23,452.3612976074219,482.0060205736713,443.29603774017926,464.00435947172974,17146150,INFY.NS,-0.10039304084294098,515.0104522705078,635.1781329345703,0.05514951703079174,21.31785701842236,-182.59426879882812
2020-03-24,506.7959289550781,516.5486459305157,448.5376066291342,448.5376066291342,20027097,INFY.NS,0.12033441330097361,505.1589599609375,632.6286865234375,0.07269146480974163,31.784482403136323,-98.51492309570312
2020-03-25,520.8878173828125,545.6347036910361,486.0874937615732,512.9825481945646,18339548,INFY.NS,0.02780584377776929,498.3020080566406,629.7527197265625,0.07378541803960204,32.51174549983844,-68.56951904296875
2020-03-26,552.5089111328125,559.2541389141585,525.9575287953459,528.4494251114769,14843813,INFY.NS,0.06070614956763509,499.3159423828125,627.4730822753907,0.07233766322052723,38.097274207602894,10.13934326171875
2020-03-27,560.8438110351562,579.9195567351105,551.8644567193235,571.455741852175,13495283,INFY.NS,0.015085548367454571,500.2052856445313,625.4993432617188,0.07228895098819153,40.68273524415552,8.8934326171875
2020-03-30,538.5028686523438,570.123897225642,533.6909399364066,537.1280093997111,14624804,INFY.NS,-0.039834517103037204,503.9473937988281,623.0882397460938,0.06619552275507858,41.443829450344936,37.42108154296875
2020-03-31,551.2199096679688,568.8348872957059,544.5176359865167,558.5236808794696,15175521,INFY.NS,0.023615549249441647,511.3843505859375,620.9168701171875,0.06308312287564949,45.06323029254255,74.36956787109375
2020-04-01,517.9661865234375,547.7827647569554,510.4046466911867,545.0760524705444,13083824,INFY.NS,-0.06032750733652181,517.2703216552734,618.0701147460937,0.06563720335213842,46.73260326264877,58.859710693359375
2020-04-03,503.27288818359375,520.7160045806065,500.2224996359624,518.567836244878,10221655,INFY.NS,-0.028367292541747635,520.7202880859375,615.0317468261719,0.06690151491954635,43.570536486769306,34.499664306640625
2020-04-07,549.07177734375,553.582930443992,526.6449229093224,528.4493631712148,15145605,INFY.NS,0.09100209893176059,525.3431396484375,612.7770275878906,0.06905172944269952,56.42469877942915,46.228515625
2020-04-08,542.7131958007812,563.3786159451819,538.2020425580807,541.3383891240682,11806896,INFY.NS,-0.011580601672389168,534.3783294677735,610.1519653320313,0.05795841630890219,59.26060819305646,90.35189819335938
2020-04-09,546.7088623046875,560.9297267407588,543.142881753098,555.7741225382784,11931114,INFY.NS,0.007362390549598752,538.3696228027344,607.6343115234375,0.04596350566644235,62.81263365300402,39.912933349609375
2020-04-13,547.6970825195312,559.9845963166536,537.944365692171,540.479215107455,8330276,INFY.NS,0.0018075803832369175,541.0505493164062,605.2163342285156,0.045485905342720984,61.843995848565136,26.80926513671875
2020-04-15,549.1148681640625,561.3594296550376,546.150384892932,559.7268529235556,11963447,INFY.NS,0.002588630996552155,540.7111450195313,602.8284326171874,0.041225195714617295,57.6983692269136,-3.39404296875
2020-04-16,536.053955078125,545.5489019562737,518.5678841868994,532.7028436318851,17783287,INFY.NS,-0.02378539326317275,538.2321594238281,599.9782446289063,0.04149061041908838,65.9046461588105,-24.78985595703125
2020-04-17,540.2642822265625,555.0866422558399,537.9012972943589,553.3681077596918,8878320,INFY.NS,0.007854297330618376,538.40830078125,597.3669311523438,0.039579124159776186,57.8607288468538,1.76141357421875
2020-04-20,561.3593139648438,567.9756826328771,549.0718021216468,549.9310694176118,13322913,INFY.NS,0.03904576414221461,539.4222412109375,595.2591491699219,0.04083877202901183,59.20281883818411,10.139404296875
2020-04-21,544.088134765625,555.5163808350769,539.4480697711608,539.4480697711608,11660575,INFY.NS,-0.030766709965554084,542.0344360351562,592.9528771972656,0.036634371904554305,47.95151313581845,26.1219482421875
2020-04-22,551.5206298828125,554.2273425338553,539.6627530432827,544.0880000897794,8266728,INFY.NS,0.01366046168308599,546.8592102050782,590.4438146972657,0.034673572940848225,47.72198733865736,48.24774169921875
2020-04-23,583.7001953125,587.4380390795792,548.2983763749575,555.9888282624461,14451289,INFY.NS,0.05834698411286099,550.3220520019531,588.6350524902343,0.02681501090230765,60.53684758422286,34.62841796875
2020-04-24,565.3978881835938,580.0054324071821,562.6482223112272,574.4631477861883,7319940,INFY.NS,-0.03135566387656874,552.5905212402344,586.6870959472657,0.02893785624708025,53.221418804414455,22.6846923828125
2020-04-27,571.069091796875,585.1610981038692,568.0187030227356,568.0187030227356,7183306,INFY.NS,0.010030464796217498,555.0265441894531,584.7503076171874,0.028979697048150135,63.794720689718595,24.3602294921875
2020-04-28,567.718017578125,581.7240665949247,561.1446005741384,578.2869967775249,7296571,INFY.NS,-0.005868071424082522,557.0286376953125,582.8169592285157,0.02916711743082303,67.78942658036377,20.02093505859375
2020-04-29,581.337158203125,586.0201744854006,565.3977636530699,572.2719005971801,8639056,INFY.NS,0.023989269678455827,560.2508666992187,581.1499792480469,0.029831626801962916,60.830689699539505,32.2222900390625
2020-04-30,614.8057861328125,618.6724891902516,599.8545133325081,601.4871422683001,16253821,INFY.NS,0.057571802279312134,568.1260498046875,580.0234802246093,0.03180003571524545,70.47345842180526,78.7518310546875
2020-05-04,578.888427734375,602.5182800042948,576.0098506269107,592.722611176012,9122740,INFY.NS,-0.05842065772406135,571.9884643554688,577.9861584472657,0.03930249770762589,57.736021809879595,38.6241455078125
2020-05-05,578.888427734375,589.1136777947754,575.7091280307733,585.8055194551935,6393053,INFY.NS,0.0,573.7413757324218,576.0485119628906,0.03774250218647421,57.534250210603815,17.52911376953125
2020-05-06,572.1861572265625,585.54775421405,570.5964811398504,581.6380982067876,7934250,INFY.NS,-0.011577827758698755,576.5511779785156,573.925263671875,0.03625279116772509,55.43412631324719,28.0980224609375
2020-05-07,571.3698120117188,579.4468933112533,569.2216437226646,571.8853514228857,4779548,INFY.NS,-0.0014267126258360463,578.5360961914063,571.6447680664063,0.03619570573986777,58.82733443074628,19.84918212890625
2020-05-08,579.318115234375,585.0752175386579,574.4202803651933,577.6425332468231,8400321,INFY.NS,0.01391096108958112,578.0978881835938,569.4751196289062,0.031180120637993105,59.58259151608675,-4.382080078125
2020-05-11,586.7936401367188,600.2411414558088,582.5832095321019,586.4499122502353,7370186,INFY.NS,0.012904006806898183,580.2374633789062,567.5142724609375,0.029373259261939844,56.68777399241086,21.395751953125
2020-05-12,590.8753051757812,593.7538302632469,580.4351842877327,583.0129867346063,7356039,INFY.NS,0.006955878114342617,582.2180847167969,565.6548217773437,0.029320461543353785,63.21926296014119,19.80621337890625
2020-05-13,596.4603881835938,601.4011749176295,587.52398772122,597.0188804340474,8287101,INFY.NS,0.009452219375035487,585.0923217773437,563.8632482910157,0.029158744853278937,62.831244612934675,28.74237060546875
2020-05-14,565.5267944335938,577.2128087345696,560.7578189625167,566.2571506603371,16888262,INFY.NS,-0.051861941484835805,583.5112854003906,561.721953125,0.03333399155619731,44.77392884611267,-15.81036376953125
2020-05-15,560.5001220703125,571.24096471479,555.6882455437949,571.24096471479,9255353,INFY.NS,-0.008888477809996131,578.0807189941406,559.5643347167969,0.02587195421969493,48.475136429160784,-54.3056640625
2020-05-18,570.4676513671875,576.1817481452235,561.1016156710401,566.9875764192433,10435442,INFY.NS,0.017783277655780028,577.2386413574219,558.399169921875,0.020282715082362984,49.81762726670393,-8.4207763671875
2020-05-19,574.506103515625,579.8335713362592,562.8200890569237,570.5534948607593,5902208,INFY.NS,0.007079195706818586,576.8004089355469,557.154091796875,0.020454964844519252,52.04978340297662,-4.38232421875
2020-05-20,575.3223266601562,578.2868089036671,566.8156130930672,574.4201066153067,5794636,INFY.NS,0.0014207388564482226,577.1140258789062,555.8230834960938,0.020087213401470384,48.03150801663052,3.13616943359375
2020-05-21,577.5994873046875,583.8291752054804,571.7564801764948,572.7016532246166,7213225,INFY.NS,0.003958060619254189,577.7369934082031,554.3356909179688,0.02009506097214161,34.699618687715486,6.22967529296875
2020-05-22,594.9136962890625,597.9211318497405,578.7165286047592,580.0054295593355,11867731,INFY.NS,0.02997615019564881,579.2965515136718,553.2659020996093,0.021788627739426917,57.780538312093945,15.5955810546875
2020-05-26,584.7744140625,601.0145887752245,583.4425600918948,595.4723035989442,7099606,INFY.NS,-0.01704328256318366,579.09462890625,552.2622790527344,0.0223093055296319,52.60160267962163,-2.01922607421875
2020-05-27,606.1701049804688,609.3923572369612,580.0054061686474,589.5002989953427,8774636,INFY.NS,0.036587939560026594,580.6241088867188,552.2794641113281,0.025141281496336973,63.29411742234137,15.2947998046875
2020-05-28,607.8457641601562,610.0798383646927,592.894490805124,607.5020362307574,9440091,INFY.NS,0.002764338204605865,581.762646484375,552.6472326660156,0.025034760869659948,64.17366944121369,11.3853759765625
2020-05-29,601.8359985351562,610.3714333238881,587.8570398812367,603.1424442628013,28290128,INFY.NS,-0.009886991041721749,585.3935668945312,553.8365612792969,0.017287586881748286,58.88373961148132,36.3092041015625
2020-06-01,609.2827758789062,615.4666513657602,602.271527227805,608.5860154019216,12276438,INFY.NS,0.012373432898455938,590.2718322753906,554.9832092285156,0.016490881191627508,58.874411121494425,48.78265380859375
2020-06-02,616.7294921875,619.821456439015,607.5408340340267,610.110188070346,7059304,INFY.NS,0.012222102123027545,594.8980163574219,557.2961633300781,0.016234869532318535,59.938351462357936,46.2618408203125
2020-06-03,611.0247192382812,620.0392275848711,606.1908801790817,618.9940602630236,11378568,INFY.NS,-0.00925004077392877,598.5498779296875,559.9796508789062,0.01712827361682336,55.59338307062952,36.51861572265625
2020-06-04,616.4246215820312,617.9052706550148,607.4972427459792,611.4165797959532,10782424,INFY.NS,0.008837453172895637,602.660107421875,563.1260137939453,0.017053344069334075,74.3160730843923,41.102294921875
2020-06-05,612.7666625976562,619.865039894145,610.1973083711065,615.7714987894036,7718679,INFY.NS,-0.005934154568626671,606.1768249511719,566.0058825683594,0.01753304487939893,75.30084706952942,35.16717529296875
2020-06-08,627.8342895507812,632.1455713743576,613.1585694852488,616.3376089004659,10719105,INFY.NS,0.024589501800326374,609.4688842773437,568.505703125,0.016783517513060252,76.46301942996793,32.92059326171875
2020-06-09,625.003662109375,635.455228720966,622.7827148362952,627.0939966954599,10078029,INFY.NS,-0.004508558211166802,613.4918090820313,571.9585504150391,0.015314427850575216,73.55683922563716,40.229248046875
2020-06-10,623.4795532226562,626.6150554935999,617.6876745639556,622.7392550922599,7263049,INFY.NS,-0.0024385599303129446,615.22275390625,574.2922229003906,0.011327980490525504,72.3176898002686,17.3094482421875
2020-06-11,613.114990234375,621.3456089453023,609.8924134763056,620.1262383364935,8825715,INFY.NS,-0.016623741604209208,615.7496765136718,576.1367663574218,0.012899522040599642,65.31135504147505,5.26922607421875
2020-06-12,602.75048828125,605.450507961928,588.3360479962732,588.5973265048777,9795316,INFY.NS,-0.016904662450290098,615.8411254882812,577.1415979003906,0.013718742426672245,53.593937012193834,0.91448974609375
2020-06-15,598.831298828125,613.5070743997325,596.8280922223429,603.5780633492647,7857344,INFY.NS,-0.006502175492716145,614.7959777832032,577.90134765625,0.013149999504335512,56.836483408968405,-10.45147705078125
2020-06-16,610.7199096679688,620.1263093463955,608.9344442687287,611.4166701701821,10131760,INFY.NS,0.019853021816175875,614.19501953125,579.3456884765625,0.014222218958973848,52.438245760937825,-6.00958251953125
2020-06-17,612.853759765625,618.6456377129897,607.9327925450111,609.5876451924963,7291916,INFY.NS,0.0034939913762044306,614.3779235839844,580.5783654785156,0.013958213751346205,52.670675397601926,1.82904052734375
2020-06-18,621.7811279296875,624.1326878506742,614.9004920943274,616.8166232398189,6670195,INFY.NS,0.014566881612142923,614.91357421875,582.6546643066406,0.014452492530530416,60.31538894244701,5.35650634765625
2020-06-19,614.508544921875,620.0391973657015,610.5456699641194,617.5133808909567,22438862,INFY.NS,-0.011696371409707584,615.0877624511719,584.8793774414063,0.014866798109272088,52.70758556569972,1.74188232421875
