Date,Close,High,Low,Open,Volume,Ticker,returns,sma_10,sma_50,volatility,rsi,momentum
2020-03-13,150.87368774414062,153.799402213402,133.68037012437767,140.11124274828052,92727400,MSFT,0.14216917071583945,151.86632080078124,160.0312808227539,0.07455536690049272,44.87679924096383,-3.0206756591796875
2020-03-16,128.63636779785156,141.86857610037168,128.2374087100847,132.98694236601375,87905900,MSFT,-0.1473903122458321,148.31652221679687,159.56084045410157,0.0836286444249544,38.19510009088189,-35.49798583984375
2020-03-17,139.22781372070312,140.111219878546,128.23738768544888,132.98692056268771,81059800,MSFT,0.08233632606523633,146.61238708496094,159.34012145996093,0.08893384366128346,41.99130758533922,-17.041351318359375
2020-03-18,133.36685180664062,138.6863334062944,128.25636526746447,131.08708226074404,81593200,MSFT,-0.042096200158826313,143.74841766357423,158.99441528320312,0.08802769734034226,43.71818337115943,-28.639694213867188
2020-03-19,135.5611572265625,142.62844911064573,132.03699788391367,135.61814929503072,85922700,MSFT,0.016453154514760815,141.51043701171875,158.72006774902343,0.08851870951370211,43.10714109098194,-22.379806518554688
2020-03-20,130.46966552734375,139.7312540410922,129.05429960314783,138.6863510776693,84866200,MSFT,-0.03755863260085168,139.2097610473633,158.2963345336914,0.08876115232570035,36.83311369116883,-23.006759643554688
2020-03-23,129.1682891845703,133.52837128420802,125.881620623842,130.14669177586433,78975200,MSFT,-0.009974551076784133,137.81909637451173,157.80868194580077,0.08662258839775844,38.82665197087768,-13.906646728515625
2020-03-24,140.90916442871094,142.10605621534557,134.1933312141267,136.54909590592504,82516700,MSFT,0.09089595688121199,136.62411346435547,157.57005615234374,0.08905154505027085,41.71209523695347,-11.9498291015625
2020-03-25,139.560302734375,146.59911547079795,137.20453797240356,141.45062244939217,75638200,MSFT,-0.00957256186852462,135.98672943115236,157.2676971435547,0.0879438158050528,42.621848117730465,-6.37384033203125
2020-03-26,148.2899169921875,148.81236851080732,140.93763483465182,140.96613087253797,64568100,MSFT,0.0625508406529296,137.6063217163086,157.16171844482423,0.08323302589309137,47.987018009367304,16.1959228515625
2020-03-27,142.20101928710938,147.1310370046496,141.7260659731949,144.1483307730437,57042300,MSFT,-0.041060766831496065,136.73905487060546,156.91406860351563,0.0714010443511961,49.64906864989988,-8.67266845703125
2020-03-30,152.20352172851562,152.5549970065621,142.49547567385673,144.8037561165446,63420300,MSFT,0.07034058188577963,139.09577026367188,156.80981903076173,0.05365368920110949,49.737248666853674,23.567153930664062
2020-03-31,149.8097686767578,156.52560046154846,148.71736744542542,151.41509857414286,77927200,MSFT,-0.01572731711180464,140.15396575927736,156.64007354736327,0.049430729631248595,51.612140335225256,10.581954956054688
2020-04-01,144.4903106689453,149.8477839495516,143.26493738693705,145.33572706359047,57969900,MSFT,-0.03550808505211844,141.2663116455078,156.3753076171875,0.04872138087931049,55.54989912006904,11.123458862304688
2020-04-02,147.48251342773438,147.69149406752848,142.82797625652344,144.25283634906882,49630700,MSFT,0.020708674131407756,142.458447265625,156.18554229736327,0.04881140057381831,48.23179378682105,11.921356201171875
2020-04-03,146.12411499023438,149.49628588002253,144.56626894886142,147.33050027358752,41243300,MSFT,-0.009210572873546874,144.02389221191407,155.94928466796875,0.04654466324356236,61.656299766055675,15.654449462890625
2020-04-06,156.9910888671875,158.1594700832369,149.68630381570637,152.28905346630089,67111700,MSFT,0.07436810739746402,146.8061721801758,155.9621957397461,0.049592918144830474,61.7966212853027,27.822799682617188
2020-04-07,155.30023193359375,161.4841185494659,155.08174298427676,161.094653373126,62769000,MSFT,-0.010770400701049954,148.24527893066406,155.9935809326172,0.04369132308628212,65.42007409740454,14.391067504882812
2020-04-08,156.85806274414062,158.32091235571306,155.3097105330273,157.37100586927252,48318200,MSFT,0.01003109133290292,149.9750549316406,155.99587371826172,0.04312112384511334,65.10781134313882,17.297760009765625
2020-04-09,156.86756896972656,158.98585654320863,155.1482404127014,158.02645613418778,51385100,MSFT,6.060399714002962e-05,150.83282012939452,155.94947540283204,0.03944483679825296,70.18154151755186,8.577651977539062
2020-04-13,157.2190399169922,157.2760464896753,154.1698477747721,156.11715925033957,41905300,MSFT,0.002240558386759073,152.33462219238282,155.82029998779296,0.035880951693071754,71.76123151400823,15.018020629882812
2020-04-14,164.9987335205078,165.04623173787772,159.58427011201988,160.5341764817343,52874300,MSFT,0.049483151707472084,153.61414337158203,155.8950323486328,0.03246993101645419,69.91201919948016,12.795211791992188
2020-04-15,163.2699432373047,164.8752876336318,160.76219051302303,162.62399924309832,40940800,MSFT,-0.010477597290092233,154.9601608276367,155.85656066894532,0.03207350683570847,69.47565322436505,13.460174560546875
2020-04-16,168.1714324951172,168.3994152624169,164.23882034933587,165.5686980836176,50479600,MSFT,0.030020769044357687,157.3282730102539,155.80736724853514,0.028436593782002556,67.42713853622496,23.681121826171875
2020-04-17,169.6533203125,170.98318372145278,167.06006492340595,170.50823043333762,52765600,MSFT,0.008811769010921955,159.54535369873048,155.79197906494142,0.028450088541361673,76.17755141474953,22.170806884765625
2020-04-20,166.29066467285156,169.79582271685595,166.2241787409171,167.78202514998281,36669600,MSFT,-0.01982074758958119,161.5620086669922,155.63866821289062,0.029605167843901947,65.38066698898015,20.166549682617188
